title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox
Vauxhall Corsa,2795,71000,2011,3.0,Petrol,Hatchback,1.0L,Manual
Vauxhall Corsa,3999,36000,2014,2.0,Petrol,Hatchback,1.4L,Manual
Citroen DS4,2700,97385,2013,4.0,Petrol,Hatchback,1.6L,Manual
Peugeot 207,999,111400,2007,2.0,Diesel,Hatchback,1.6L,Manual
KIA RIO,3250,66800,2013,1.0,Petrol,Hatchback,1.3L,Manual
Volkswagen Golf,2950,98207,2007,4.0,Petrol,Hatchback,1.6L,Automatic
Mazda Mazda3,3799,68000,2011,2.0,Petrol,Hatchback,1.6L,Manual
Toyota Yaris,1100,164470,2006,3.0,Petrol,Hatchback,1.3L,Manual
Ford Fiesta,2995,67361,2009,1.0,Petrol,Hatchback,1.3L,Manual
Mitsubishi Outlander,4495,116000,2009,3.0,Petrol,SUV,2.4L,Automatic
Volkswagen Scirocco,3750,99000,2010,3.0,Petrol,Hatchback,1.4L,Manual
Toyota Corolla,995,110846,2005,3.0,Diesel,Hatchback,2.0L,Manual
SEAT Ibiza,3350,65000,2013,4.0,Petrol,Hatchback,1.4L,Manual
Audi A3,2499,85578,2008,5.0,Petrol,Hatchback,1.6L,Manual
Vauxhall Corsa,2100,77502,2012,5.0,Petrol,Hatchback,1.2L,Manual
Audi A3,1800,130500,2011,2.0,Petrol,Hatchback,1.6L,Manual
Peugeot 207,1299,87000,2008,5.0,Diesel,Hatchback,1.6L,Manual
Vauxhall Astra,2300,64000,2010,6.0,Petrol,Hatchback,1.4L,Manual
Vauxhall Corsa,1500,96270,2008,9.0,Petrol,Hatchback,1.4L,Manual
Vauxhall Zafira,2495,95000,2011,2.0,Petrol,MPV,1.8L,Manual
Fiat Grande Punto,1999,76850,2009,3.0,Petrol,Hatchback,1.4L,Manual
Mercedes-Benz B Class,2299,99000,2009,4.0,Diesel,MPV,2.0L,Manual
Vauxhall Insignia,2950,79000,2011,4.0,Petrol,Hatchback,1.8L,Manual
Mercedes-Benz A Class,15900,62402,2019,1.0,Petrol,Hatchback,1.3L,Automatic
Vauxhall Insignia,3450,147000,2016,2.0,Diesel,Hatchback,1.6L,Manual
Renault Clio,1899,82000,2009,2.0,Petrol,Hatchback,1.2L,Manual
Saab 9-3,2000,138000,2008,6.0,Petrol,Saloon,2.0L,Automatic
Volkswagen Golf,2490,59042,2006,3.0,Diesel,Hatchback,1.9L,Manual
BMW 3 Series,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic
MG Midget,1875,75043,1972,3.0,Petrol,Convertible,1.3L,Manual
Volkswagen Polo,3795,87009,2009,4.0,Petrol,Hatchback,1.4L,Manual
Ford Mondeo,5450,69756,2012,4.0,Diesel,Hatchback,2.2L,Manual
Audi A6 Avant,2600,234680,2011,1.0,Diesel,Estate,2.0L,Manual
BMW 3 Series,2999,77708,2001,7.0,Petrol,Coupe,2.2L,Manual
Vauxhall Meriva,1990,68840,2011,4.0,Petrol,MPV,1.4L,Manual
BMW 3 Series,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic
Nissan Qashqai,3795,120090,2011,2.0,Petrol,SUV,1.6L,Manual
Nissan Almera Tino,990,93000,2004,3.0,Petrol,MPV,1.8L,Manual
Mercedes-Benz C Class,3100,140000,2012,2.0,Diesel,Coupe,2.1L,Manual
Vauxhall Corsa,2250,77000,2009,7.0,Petrol,Hatchback,1.2L,Manual
SKODA Fabia,2495,124138,2011,3.0,Petrol,Hatchback,1.2L,Automatic
Renault Megane,2495,101347,2011,2.0,Petrol,Estate,1.6L,Manual
BMW 1 Series,2999,107000,2009,5.0,Petrol,Hatchback,1.6L,Automatic
Saab 9-3,2299,67200,2003,3.0,Petrol,Saloon,2.0L,Manual
Toyota Yaris,1750,113500,2010,3.0,Petrol,Hatchback,1.0L,Manual
MINI Hatch,3100,68160,2010,4.0,Petrol,Hatchback,1.4L,Manual
Toyota Avensis,1595,106717,2006,3.0,Petrol,Hatchback,1.8L,Manual
Vauxhall Astra,2495,75000,2006,2.0,Petrol,Hatchback,1.8L,Automatic
Ford Focus,1950,127569,2010,6.0,Petrol,Hatchback,1.6L,Manual
Audi A3,1675,127000,2008,7.0,Petrol,Hatchback,1.6L,Manual
Peugeot 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6L,Manual
Ford Focus,4449,89653,2012,3.0,Petrol,Hatchback,1.0L,Manual
Ford Mondeo,1400,84000,1998,2.0,Petrol,Saloon,2.0L,Automatic
Mercedes-Benz C Class,3100,96123,2009,7.0,Diesel,Saloon,2.1L,Automatic
Mazda MAZDA 2,1995,95843,2011,6.0,Petrol,Hatchback,1.3L,Manual
Honda Jazz,1750,100500,2009,2.0,Petrol,Hatchback,1.4L,Manual
Peugeot 207,2075,82013,2011,4.0,Petrol,Hatchback,1.4L,Manual
Vauxhall Insignia,2950,79000,2011,4.0,Petrol,Hatchback,1.8L,Manual
BMW 3 Series,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic
Volkswagen Golf,3050,158000,2009,4.0,Petrol,Hatchback,1.4L,Automatic
Mitsubishi ASX,4950,95000,2014,3.0,Petrol,SUV,1.6L,Manual
Honda Jazz,1595,99000,2008,4.0,Petrol,Hatchback,1.4L,Manual
Fiat Grande Punto,1600,69900,2007,2.0,Petrol,Hatchback,1.2L,Manual
Mercedes-Benz C Class,4149,115000,2008,5.0,Petrol,Saloon,1.8L,Automatic
MINI Hatch,10000,46923,2017,3.0,Petrol,Hatchback,1.5L,Manual
Mercedes-Benz C Class,12450,64000,2015,5.0,Petrol,Saloon,2.0L,Automatic
Alfa Romeo Mito,2450,92000,2010,6.0,Petrol,Hatchback,1.4L,Manual
Lexus GS 300,1990,72000,1997,5.0,Petrol,Saloon,3.0L,Automatic
Land Rover Freelander,1000,81783,1999,2.0,Diesel,SUV,2.0L,Manual
Volkswagen Polo,2499,102000,2008,4.0,Petrol,Hatchback,1.4L,Manual
BMW 1 Series,2950,81000,2008,4.0,Petrol,Hatchback,1.6L,Manual
Peugeot 307,1700,56000,2007,3.0,Petrol,Hatchback,1.6L,Manual
Fiat Punto EVO,2495,81858,2011,4.0,Petrol,Hatchback,1.4L,Manual
Peugeot 207,1299,87000,2008,5.0,Diesel,Hatchback,1.6L,Manual
MINI Hatch,10000,46923,2017,3.0,Petrol,Hatchback,1.5L,Manual
Vauxhall Astra,2900,119035,2010,5.0,Petrol,Hatchback,1.6L,Automatic
Renault Megane,1995,102541,2009,3.0,Petrol,Hatchback,1.6L,Manual
Volkswagen Polo,2110,93930,2009,4.0,Petrol,Hatchback,1.2L,Manual
Toyota Yaris,2390,35000,2005,2.0,Petrol,Hatchback,1.3L,Manual
Volkswagen Polo,3790,16300,2006,2.0,Petrol,Hatchback,1.2L,Manual
Lexus IS 250,8899,118000,2015,1.0,Petrol,Saloon,2.5L,Automatic
Fiat 500,2595,48000,2010,4.0,Petrol,Hatchback,1.2L,Manual
Peugeot 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6L,Manual
Chevrolet Cruze,2950,144000,2013,4.0,Petrol,Estate,1.8L,Automatic
BMW 5 Series,4950,90000,2012,3.0,Diesel,Saloon,2.0L,Manual
Hyundai Veloster,3999,117000,2012,3.0,Petrol,Hatchback,1.6L,Manual
Ford Fusion,1995,62359,2006,2.0,Petrol,Hatchback,1.4L,Manual
Renault Grand Scenic,1490,128600,2010,2.0,Diesel,MPV,1.5L,Manual
Peugeot 207,1299,87000,2008,5.0,Diesel,Hatchback,1.6L,Manual
BMW 3 Series,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic
Vauxhall Vectra,2495,93366,2008,6.0,Petrol,Hatchback,2.8L,Automatic
Volkswagen Polo,1995,87500,2007,5.0,Petrol,Hatchback,1.2L,Manual
Peugeot 208,4795,47000,2015,3.0,Petrol,Hatchback,1.0L,Manual
Suzuki Grand Vitara,2599,107575,2011,1.0,Petrol,SUV,1.6L,Manual
Volkswagen Polo,2495,149000,2010,1.0,Diesel,Hatchback,1.2L,Manual
Alfa Romeo Mito,1750,130000,2010,4.0,Petrol,Hatchback,1.4L,Manual
Mercedes-Benz C Class,5250,121700,2013,5.0,Petrol,Coupe,1.6L,Automatic
Peugeot 2008,7099,83000,2016,2.0,Petrol,SUV,1.2L,Manual
Ford Fiesta,1799,93796,2009,8.0,Petrol,Hatchback,1.4L,Manual
Volkswagen Polo,2870,125392,2010,1.0,Petrol,Hatchback,1.2L,Manual
Peugeot 107,2050,83376,2010,3.0,Petrol,Hatchback,1.0L,Manual
Toyota Corolla,1750,90000,2004,3.0,Petrol,Estate,1.6L,Manual
Renault Scenic,1999,125000,2012,2.0,Petrol,MPV,1.6L,Manual
Citroen C4,1950,100000,2007,4.0,Petrol,Hatchback,1.6L,Automatic
Vauxhall Corsa,1950,93000,2012,4.0,Petrol,Hatchback,1.2L,Manual
BMW 3 Series,2275,103383,2008,5.0,Petrol,Coupe,2.0L,Manual
Volvo V50,1595,148642,2012,2.0,Diesel,Estate,1.6L,Manual
Vauxhall Corsa,2450,109714,2012,5.0,Petrol,Hatchback,1.2L,Manual
Mitsubishi Colt,1949,70000,2012,2.0,Petrol,Hatchback,1.1L,Manual
Volkswagen Passat,4200,90000,2011,3.0,Diesel,Saloon,2.0L,Automatic
Audi A6 Saloon,1499,131724,2006,3.0,Petrol,Saloon,2.0L,Manual
BMW 3 Series,4199,92000,2011,3.0,Petrol,Coupe,2.0L,Automatic
Audi A3,2910,118500,2011,3.0,Petrol,Hatchback,1.2L,Manual
BMW 3 Series,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic
BMW 3 Series,2900,104499,2007,5.0,Petrol,Saloon,2.0L,Automatic
Vauxhall Corsa,4500,74010,2015,2.0,Petrol,Hatchback,1.4L,Manual
Mercedes-Benz C Class,4000,114401,2013,4.0,Diesel,Coupe,2.1L,Automatic
BMW 3 Series,19800,69690,2019,1.0,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic
SKODA Fabia,6900,70189,2016,3.0,Diesel,Hatchback,1.4L,Manual
SEAT Ibiza,4895,66000,2012,2.0,Petrol,Hatchback,1.4L,Manual
Ford Fiesta,975,97505,2003,4.0,Petrol,Hatchback,1.3L,Manual
Hyundai ix20,4495,100000,2012,4.0,Petrol,Hatchback,1.6L,Automatic
BMW 3 Series,1499,99999,2005,2.0,Petrol,Saloon,2.0L,Manual
Fiat Doblo,2495,99000,2009,2.0,Petrol,Estate,1.4L,Manual
Mercedes-Benz CLK,2500,149000,2006,2.0,Diesel,Coupe,3.0L,Automatic
Volkswagen Golf,4599,70000,2009,2.0,Petrol,Hatchback,1.4L,Manual
Vauxhall Insignia,2950,79000,2011,4.0,Petrol,Hatchback,1.8L,Manual
SKODA Fabia,6900,70189,2016,3.0,Diesel,Hatchback,1.4L,Manual
Peugeot 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6L,Manual
BMW 3 Series,2500,138910,2003,9.0,Petrol,Convertible,2.5L,Manual
Ford Mustang,5000,99350,2005,1.0,Petrol,Coupe,5.0L,Automatic
Honda Jazz,2495,118000,2012,3.0,Petrol,Hatchback,1.4L,Manual
Peugeot 208,3650,78000,2012,2.0,Petrol,Hatchback,1.4L,Manual
Nissan Qashqai,2495,132000,2009,5.0,Petrol,Hatchback,1.6L,Manual
